Poster,Title,Year,Certificate,Duration (min),Genre,Rating,Metascore,Director,Cast,Votes,Description,Review Count,Review Title,Review,0,1,2,Decade
"https://m.media-amazon.com/images/M/MV5BMTYzZWE3MDAtZjZkMi00MzhlLTlhZDUtNmI2Zjg3OWVlZWI0XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UY209_CR0,0,140,209_AL_.jpg",Lord of War,2017,All,122,"Crime, Drama",7.6,62,Andrew Niccol,"Nicolas Cage, Ethan Hawke, Jared Leto, Bridget Moynahan",337460,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.,399,story-telling perfection,"A movie about a gunrunner who arms the dictators, tyrants, and genocide-perpetrators of the world should not be this deliciously funny. Lord of War is story-telling perfection. The opening scene depicts the life of a bullet, from its creation in the factory to the moment it blasts through the head of a poor African child. Nicolas Cage is Yuri Orlov, the son of Ukrainian immigrants, who becomes the world's most successful arms dealer. Writer/director Andrew Niccol took every major world conflict of the part 25 years and seamlessly incorporated them into a smart, funny, complex story about violence, corruption, and the essence of warfare. Lord of War has no clear-cut, black-or-white, good-or-evil ""moral of the story,"" but no intelligent observation ever does. It's just a fabulous film. ""I never sold to Osama Bin Laden,"" Yuri tells the audience. ""Not on moral grounds, but because his checks were always bouncing back then.""",Crime, Drama,,2010
"https://m.media-amazon.com/images/M/MV5BMjA4NzI5OTgyMV5BMl5BanBnXkFtZTgwODgwNjU1MDE@._V1_UY209_CR0,0,140,209_AL_.jpg",Valley Girl,2017,,99,"Comedy, Romance",6.4,66,Martha Coolidge,"Nicolas Cage, Deborah Foreman, Elizabeth Daily, Michael Bowen",18491,"Julie, a girl from the valley, meets Randy, a punk from the city. They are from different worlds and find love. Somehow they need to stay together in spite of her trendy, shallow friends.",96,Top of the heap of eighties teen films,"This gem captures early 80's life brilliantly. As a grad '83 boymyself, I must say that Valley Girl (along with Fast Times atRidgemont High )stands out as the class of the teen sex filmgenre. The characters are accurate representatives of the era; thevapid mall chicks, pseudo punk rebels, preppy jocks are allrepresented here.I have seen this over ten times now. The music in the film was topnotch. Unfortunately, these tunes could were never as popular intheir era as those by arena cockrockers like Journey, Styx orLoverboy. Before the soundtrack existed, I searched out recordsand tapes (it was the 80's after all !) of Josie Cotton, Sparks,Plimsouls and Modern English.This movie deserves respect. It isn't just a good 80's teen flick. It isa great film. Period.",Comedy, Romance,,2010
"https://m.media-amazon.com/images/M/MV5BOTc3ZDQ1NGMtZTI3Yi00NDYxLWIxMmQtZDg3OGI4ZDdiZWMxXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_UY209_CR1,0,140,209_AL_.jpg",Moonstruck,2021,UA,102,"Comedy, Drama, Romance",7.2,83,Norman Jewison,"Cher, Nicolas Cage, Olympia Dukakis, Danny Aiello",68752,"Loretta Castorini, a bookkeeper from Brooklyn, New York, finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry.",188,La Bella Luna!,"People call this Cher's movie, but Olympia Dukakis makes it for me. It's under her roof that I heard some of my favorite dialogue in the movies.I am not a violent person, but  ""Old man . . . you give those dogs another piece of my meat and I'll kick ya til ya dead!"" has got to be on my top ten list of memorable quotes.I like the conversations around this family's kitchen table maybe because growing up, meals in my house were pretty silent even though there were seven of us.  Funny that it took an Irish screenwriter to capture the Italian cadences.  These people aren't caricatures of Italians or any other ethnicity, they are just a vocal family.In another time, with just a few changes in the script, this story could have been high operatic drama.  But it's not.  It's a romantic comedy not a tragedy - even though it contains elements of tragedy - death under a bus, a lost limb, betrayal of marriage vows, and misinterpretations and misunderstandings.But these characters TALK about what's on their minds. You want to know where the Met is located? You ask your hairdresser.  You think your husband is flirting with another woman? You tell him that while you're both working behind the wine counter - in front of a customer.  You're mad at your brother, you want to know why men need more than one woman, you want your son to pay for the wedding of his only daughter?  If you really want to know, if you really want results or answers,  you speak up!
Besides movies based on Agatha Christie novels, it is rare that a story ends with bringing the entire cast together more satisfyingly than ""Moonstruck."" The morning-after-the-opera scene in Rose Castorini's  sunny kitchen with all the characters present is one that I can watch again and again. ""You've got a love-bite on yer neck - your life's goin down the toilet!"" ""I want you to stop seeing her""  ""Who are we waiting for?""  ""Johnny Cammarari"" ""You're a part of the family!""No matter what sort of table you grew up around, rent or buy this movie.
And remember, ""No matter what you're gonna do you gonna die, just like everybody else!""",Comedy, Drama, Romance,2020
"https://m.media-amazon.com/images/M/MV5BMTY3NTc4OTYxMF5BMl5BanBnXkFtZTcwMjk5NzUyMw@@._V1_UY209_CR0,0,140,209_AL_.jpg",National Treasure,2021,U,131,"Action, Adventure, Mystery",6.9,40,Jon Turteltaub,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean",355752,A historian races to find the legendary Templar Treasure before a team of mercenaries.,636,Excellent movie vastly underrated by critics,"I went to see four movies this week (Birth, Incredible, Bridget, and this one, National Treasure). I went to see National Treasure last because it got the worst rating by critics. It turned out to be the best of four. An excellent movie, packed with suspense, good acting, plot, from beginning to end. Two thumbs down for critics. They missed this one just like they did for Riddick. I heartedly recommend it to anyone.",Action, Adventure, Mystery,2020
"https://m.media-amazon.com/images/M/MV5BYTYyM2NmM2QtZTY4My00NDYxLTgyMTctY2ZhOWRjZjk1NjY5XkEyXkFqcGdeQXVyNTE0NDY2Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",The Retirement Plan,2012,R,103,"Action, Comedy, Crime",5.1,0,Tim Brown,"Nicolas Cage, Ashley Greene, Thalia Campbell, Ron Perlman",7189,"When Ashley and her young daughter Sarah get caught up in a criminal enterprise that puts their lives at risk, she turns to estranged father Matt, currently living the life of a retired beach bum in the Cayman Islands.",78,A completely wasted opportunity,"The best things that The Retirement Plan has going for it all hinge on the inherent comedic edge of its wacky premise. Sadly, these things are hardly ever the focus.In fact, if you've seen the trailer, you've seen almost every good moment in this movie.A handful of impressive moments arise when the great Nic Cage is allowed to flex his humorous energy as he kills people in hilarious fashion, and these moments were the one saving grace that kept the movie watchable.Sadly, for most of the runtime, we're treated to a whole lot of nothing.It's very poorly directed, having all the style of a straight-to-DVD Steven Seagal movie. And the script gives the characters absolutely nothing of interest to do and no intriguing interactions to have as they fumble their way through this generic, convoluted, banal, creatively bankrupt story without an ounce of a soul.Oh, and the music sucks too. I'd be shocked if it all wasn't just stock action-movie music pulled off of iMovie.",Action, Comedy, Crime,2010
"https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Leaving Las Vegas,2008,A,111,"Drama, Romance",7.5,82,Mike Figgis,"Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis",134910,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",338,The dignity of love and the depths of despair,"If Mike Figgis never made another film, and Nick Cage and Elizabeth Shue retired after making Leaving Las Vegas, they would have done so with impunity. Both actors are superb, and bring the excellent screenplay to life with the help of some masterful dramatic cinematography.Cage plays a suicidal alcoholic who has come to Las Vegas to drink himself to death, and Shue plays the unexpected problem - a prostitute who falls in love with him. The only reason this film did not receive a ten from me is the voice-over technique which was tastefully minimal, but, in my opinion, the only mistake the director made. It does help to provide closure, but I felt that closure was an unnecessary compromise here.This is not an entertaining film, and in truth, I am surprised by its popularity among typical audiences. It is a serious film, and a work of art, but fun is not to be found here. DO NOT see this film if you dislike feeling emotionally drained and ethically challenged, and DO NOT see it if you are very prone to boredom, or easily offended by sexual violence, substance abuse and the horror of daily life on the street. This is an intensely sad film about love shared by people who are caught in the gravity of their lives and can not escape. It is also a story of redemption and respect, found in improbable places. It is NOT a fun-filled frolicking romantic comedy, but rather, the opposite, and it achieves a beauty, dignity and power almost unique among films treating such starkly real and disturbing subjects.",Drama, Romance,,2000
"https://m.media-amazon.com/images/M/MV5BODJiNmU0YzgtMGU1MS00M2YzLWI1NDctOGQwYWRiODZkM2YwXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Wild at Heart,2016,A,125,"Crime, Drama, Thriller",7.2,52,David Lynch,"Nicolas Cage, Laura Dern, Willem Dafoe, J.E. Freeman",101133,Young lovers Sailor and Lula run from the variety of weirdos that Lula's mom has hired to kill Sailor.,231,Mesmerizing.,"Recipient of the prestigious Palme d'Or award at Cannes, David Lynch's ""Wild at Heart"" is an amazingly brilliant spectacle for the senses. Bold splashes of deep red, curiously staged musical numbers (Nicolas Cage does his own singing  and he's great!), and the continuous references to ""The Wizard of Oz"" help create a surreal and dreamlike texture to the narrative. The story in brief: Sailor and Lula (excellent performances from both Nicolas Cage & Laura Dern); two broken souls passionately in love, flee the vengeful wrath of Lula's mother Marietta, who for reasons of her own will stop at nothing to ensure the lovers are kept apart. Diane Ladd practically steals the show in her brave portrayal of Lula's psychopathic mother Marietta. Gut wrenchingly violent in places, hopelessly romantic in others; Lynch has crafted an adult fairy tale worthy of multiple viewings. Recommended to those who enjoy and appreciate abstract methods of film-making  a definite 10/10!",Crime, Drama, Thriller,2010
"https://m.media-amazon.com/images/M/MV5BMjIwNTM4Njg2NF5BMl5BanBnXkFtZTcwNDQwMTAwNA@@._V1_UY209_CR0,0,140,209_AL_.jpg",Drive Angry,2013,A,104,"Action, Comedy, Fantasy",5.4,44,Patrick Lussier,"Nicolas Cage, Amber Heard, William Fichtner, Billy Burke",103510,A vengeful father escapes from hell and chases after the men who killed his daughter and kidnapped his granddaughter.,222,Is that your tongue in your cheek or are you just pleased to see me?,"If you've seen the trailer you know what this films about. A Grandfather everyone thought was dead is out to save his baby granddaughter from the clutches of a gang of devil worshippers. Thats the plot in a nutshell and you don't need to know anymore.This film is really a throwback to the old 70's revenge movies. The dialogue is purposely cheesy. The violence is over the top. There's nudity and gore and a few laughs to be had along the way. Nicholas Cage gives another fine unhinged performance delivering these cheesy lines like he was doing Shakespeare. Amber Heard as the sexy sidekick is just as good, but possible the best performance is from William Fichtner as the accountant. The music is loud the gunshots louder and the 3D is great all the way through.For me it had a similar feel to the crank movies and planet terror. It was just stupid fun and I loved it.",Action, Comedy, Fantasy,2010
"https://m.media-amazon.com/images/M/MV5BMTMyMjgyMDIyM15BMl5BanBnXkFtZTcwNjg3MjAyMg@@._V1_UY209_CR0,0,140,209_AL_.jpg",Knowing,2023,UA,121,"Action, Mystery, Sci-Fi",6.2,41,Alex Proyas,"Nicolas Cage, Chandler Canterbury, Rose Byrne, Lara Robinson",247842,M.I.T. professor John Koestler links a mysterious list of numbers from a time capsule to past and future disasters and sets out to prevent the ultimate catastrophe.,529,Kudos To Proyas For This Surprisingly Good Flick!,"It may seem improbable, but Knowing actually adds something fresh and inspiring to the disaster genre. Certainly the action scenes are well staged  they are as grand and tense as the previews would have you expect. But Knowing really stands out from the likes of Next and various Roland Emmerich movies because of its heart (there is a profoundly human element amongst the chaos and destruction), and because of the surprising, riveting turns the story takes. In no way was it a generic ""save the world"" flick, like I feared going in. It is an original with a memorable ending that should not be spoiled, but it will almost definitely have people talking.In my mind, director Alex Proyas deserves a lot of the credit for the fact that the film is brave, and does not try to replicate a typical Hollywood blueprint. In fact, he even has Nic Cage back on solid footing, an actor I used to love but have been quite weary of lately. But I think Proyas deserves the main kudos for turning this into something creative and special, and I'd go as far as to say this it is his best movie since Dark City.There really isn't much to complain about regarding the film, but the one exception might be the middle, where the action sags a bit. Still, I think the captivating final third more than makes up for it.I definitely recommend the film - you will be pleasantly surprised!",Action, Mystery, Sci-Fi,2020
"https://m.media-amazon.com/images/M/MV5BYmU2NzQ0YjctMmU3MC00MWQ4LWI4ODctZDA4NDU5N2JiZjU4XkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_UY209_CR0,0,140,209_AL_.jpg",Butcher's Crossing,2004,R,105,"Adventure, Drama, Western",5.6,55,Gabe Polsky,"Nicolas Cage, Fred Hechinger, Jeremy Bobb, Paul Raci",4239,"An Ivy League drop-out travels to the Colorado wilderness, where he joins a team of buffalo hunters on a journey that puts his life and sanity at risk. Based on the highly acclaimed novel by John Williams.",22,"Hard to Watch at times, but a good film","Seen this at the Borderlines Festival in Herefordshire. A good film, gritty, well made. Hard to watch at times due to the subject matter (if you like animals!).Thought it showed the senseless slaughter of American Bison well, and the reasons for it. Well acted and well shot with interesting scenery, a good interplay between the lead characters. No particular twists or surprises, but all the better for it in my view.One criticism would be it wasn't great on showing the timeline over the 6 months or so of the story. However, this is a minor point and I think overall the film is well worth a look. Hope you enjoy!",Adventure, Drama, Western,2000
